Date,Error
2018-04-02,16
2018-04-03,34
2018-04-04,26
2018-04-05,18
2018-04-06,25
2018-04-07,21
2018-04-08,23
2018-04-09,51
2018-04-10,32
2018-04-11,53
2018-04-12,124
2018-04-13,29
2018-04-14,14
2018-04-15,22
2018-04-16,47
2018-04-17,35
2018-04-18,53
2018-04-19,31
2018-04-20,31
2018-04-21,78
2018-04-22,9
2018-04-23,25
2018-04-24,56
2018-04-25,35
2018-04-26,22
2018-04-27,23
2018-04-28,27
2018-04-29,64
2018-04-30,78
2018-05-01,22
2018-05-02,16
2018-05-03,51
2018-05-04,73
2018-05-05,47
2018-05-06,28
2018-05-07,38
2018-05-08,41
2018-05-09,34
2018-05-10,26
2018-05-11,26
2018-05-12,11
2018-05-13,38
2018-05-14,58
2018-05-15,68
2018-05-16,41
2018-05-17,47
2018-05-18,22
2018-05-19,26
2018-05-20,35
2018-05-21,9
2018-05-22,44
2018-05-23,38
2018-05-24,58
2018-05-25,24
2018-05-26,28
2018-05-27,21
2018-05-28,14
2018-05-29,32
2018-05-30,32
2018-05-31,29
2018-06-01,16
2018-06-02,21
2018-06-03,28
2018-06-04,25
2018-06-05,37
2018-06-06,33
2018-06-07,28
2018-06-08,40
2018-06-09,90
2018-06-10,84
2018-06-11,80
2018-06-12,17
2018-06-13,16
2018-06-14,2
2018-06-15,40
2018-06-16,61
2018-06-17,59
2018-06-18,27
2018-06-19,43
2018-06-20,39
2018-06-21,29
2018-06-22,38
2018-06-23,17
2018-06-24,30
2018-06-25,30
2018-06-26,20
2018-06-27,38
2018-06-28,48
2018-06-29,46
2018-06-30,49
