Date,Error
2014-12-21,37
2014-12-22,54
2014-12-23,67
2014-12-24,32
2014-12-25,33
2014-12-26,44
2014-12-27,49
2014-12-28,58
2014-12-29,33
2014-12-30,28
2014-12-31,36
2015-01-01,36
2015-01-02,44
2015-01-03,39
2015-01-04,56
2015-01-05,53
2015-01-06,38
2015-01-07,28
2015-01-08,35
2015-01-09,45
2015-01-10,69
2015-01-11,34
2015-01-12,64
2015-01-13,113
2015-01-14,45
2015-01-15,55
2015-01-16,78
2015-01-17,93
2015-01-18,58
2015-01-19,48
2015-01-20,60
2015-01-21,54
2015-01-22,53
2015-01-23,42
2015-01-24,70
2015-01-25,74
2015-01-26,63
2015-01-27,51
2015-01-28,73
2015-01-29,180
2015-01-30,85
2015-01-31,65
2015-02-01,51
2015-02-02,78
2015-02-03,52
2015-02-04,64
2015-02-05,71
2015-02-06,61
2015-02-07,74
2015-02-08,69
2015-02-09,58
2015-02-10,58
2015-02-11,57
2015-02-12,100
2015-02-13,104
2015-02-14,106
2015-02-15,85
2015-02-16,108
2015-02-17,102
2015-02-18,26
2015-02-19,34
2015-02-20,18
2015-02-21,26
2015-02-22,20
2015-02-23,26
2015-02-24,84
2015-02-25,68
2015-02-26,70
2015-02-27,100
2015-02-28,31
2015-03-01,64
2015-03-02,98
2015-03-03,64
2015-03-04,33
2015-03-05,41
2015-03-06,58
2015-03-07,41
2015-03-08,51
2015-03-09,62
2015-03-10,64
2015-03-11,42
2015-03-12,50
2015-03-13,54
2015-03-14,39
2015-03-15,56
2015-03-16,80
2015-03-17,66
2015-03-18,92
2015-03-19,66
2015-03-20,24
2015-03-21,27
2015-03-22,36
2015-03-23,48
2015-03-24,35
2015-03-25,52
2015-03-26,54
2015-03-27,25
2015-03-28,22
2015-03-29,49
2015-03-30,73
2015-03-31,68
2015-04-01,70
2015-04-02,70
2015-04-03,45
2015-04-04,44
2015-04-05,79
2015-04-06,66
2015-04-07,71
2015-04-08,66
2015-04-09,88
2015-04-10,106
2015-04-11,89
2015-04-12,88
2015-04-13,77
2015-04-14,47
2015-04-15,59
2015-04-16,58
2015-04-17,70
2015-04-18,51
2015-04-19,58
2015-04-20,60
2015-04-21,46
2015-04-22,39
2015-04-23,18
2015-04-24,31
2015-04-25,61
2015-04-26,67
2015-04-27,57
2015-04-28,60
2015-04-29,64
2015-04-30,47
2015-05-01,71
2015-05-02,61
2015-05-03,59
2015-05-04,39
2015-05-05,36
2015-05-06,34
2015-05-07,29
2015-05-08,22
2015-05-09,42
2015-05-10,40
2015-05-11,42
2015-05-12,39
2015-05-13,44
2015-05-14,49
2015-05-15,71
2015-05-16,59
2015-05-17,47
2015-05-18,74
2015-05-19,64
2015-05-20,46
2015-05-21,88
2015-05-22,63
2015-05-23,57
2015-05-24,66
2015-05-25,40
2015-05-26,56
2015-05-27,26
2015-05-28,25
2015-05-29,25
2015-05-30,27
2015-05-31,91
2015-06-01,24
2015-06-02,0
2015-06-03,6
2015-06-04,5
2015-06-05,30
2015-06-06,38
2015-06-07,35
2015-06-08,14
2015-06-09,15
2015-06-10,13
2015-06-11,23
2015-06-12,10
2015-06-13,2
2015-06-14,9
2015-06-15,9
2015-06-16,13
2015-06-17,30
2015-06-18,31
2015-06-19,11
2015-06-20,6
2015-06-21,30
2015-06-22,19
2015-06-23,25
2015-06-24,18
2015-06-25,14
2015-06-26,33
2015-06-27,26
2015-06-28,27
2015-06-29,16
2015-06-30,25
2015-07-01,35
2015-07-02,27
2015-07-03,28
2015-07-04,51
2015-07-05,35
2015-07-06,26
2015-07-07,28
2015-07-08,35
2015-07-09,45
2015-07-10,34
2015-07-11,23
2015-07-12,43
2015-07-13,39
2015-07-14,46
2015-07-15,57
2015-07-16,75
2015-07-17,83
2015-07-18,47
2015-07-19,30
2015-07-20,37
2015-07-21,26
2015-07-22,51
2015-07-23,72
2015-07-24,73
2015-07-25,47
2015-07-26,104
2015-07-27,30
2015-07-28,22
2015-07-29,39
2015-07-30,36
2015-07-31,43
2015-08-01,77
2015-08-02,71
2015-08-03,37
2015-08-04,52
2015-08-05,43
2015-08-06,51
2015-08-07,38
2015-08-08,44
2015-08-09,46
2015-08-10,62
2015-08-11,53
2015-08-12,45
2015-08-13,50
2015-08-14,54
2015-08-15,39
2015-08-16,35
2015-08-17,56
2015-08-18,40
2015-08-19,27
2015-08-20,36
2015-08-21,16
2015-08-22,32
2015-08-23,17
